district,hospital,cafe,park,cluster
좌2동,17,2,7,0
양정1동,14,1,1,1
구서1동,11,0,2,1
중1동,11,0,6,1
우3동,11,0,3,1
장전2동,10,0,1,1
명지1동,7,3,18,0
민락동,5,4,6,0
정관읍,5,3,31,0
남천1동,7,1,1,1
좌1동,5,2,2,1
남포동,5,2,0,1
용호1동,6,1,3,1
온천2동,7,0,7,1
우1동,6,0,10,1
온천3동,6,0,2,1
망미1동,6,0,4,1
일광읍,4,2,14,0
대연3동,5,1,7,0
전포2동,4,2,1,1
연산9동,6,0,8,1
다대2동,3,3,11,2
부곡3동,6,0,3,1
연산2동,6,0,7,1
녹산동,6,0,44,1
부전2동,3,3,1,3
우2동,6,0,8,1
화명3동,5,1,11,0
기장읍,6,0,46,1
광안2동,5,1,1,1
온천1동,5,0,4,1
연지동,5,0,14,1
초읍동,5,0,5,1
재송1동,4,1,2,1
전포1동,3,2,6,2
반여1동,5,0,10,1
명륜동,5,0,1,1
연산5동,5,0,6,1
화명1동,5,0,6,1
다대1동,4,1,20,0
연산1동,5,0,5,1
충무동,4,0,0,1
사직2동,4,0,2,1
안락2동,3,1,3,3
모라1동,4,0,7,1
명지2동,4,0,14,1
남산동,4,0,6,1
송정동,4,0,6,1
장림2동,4,0,1,1
당리동,3,1,6,2
장안읍,1,3,11,2
괘법동,2,2,2,3
금곡동,4,0,15,1
괴정3동,4,0,1,1
중2동,3,1,4,3
수민동,4,0,5,1
당감4동,3,0,4,4
구포1동,1,2,2,3
부곡2동,2,1,2,3
연산4동,2,1,2,3
화명2동,3,0,10,2
엄궁동,3,0,7,2
가야2동,3,0,2,4
하단1동,3,0,5,4
사직1동,3,0,4,4
구포2동,3,0,3,4
안락1동,3,0,0,4
수영동,3,0,9,2
연산6동,3,0,2,4
문현2동,3,0,2,4
만덕3동,3,0,3,4
문현3동,3,0,2,4
광안1동,3,0,0,4
거제3동,2,1,0,3
거제2동,3,0,1,4
장전1동,3,0,5,4
개금1동,3,0,1,4
덕천2동,3,0,5,4
거제1동,3,0,4,4
덕천1동,2,1,8,2
용호3동,1,1,4,3
주례2동,2,0,3,4
용호2동,2,0,3,4
암남동,1,1,10,2
하단2동,1,1,20,2
초량2동,2,0,1,4
신평2동,2,0,4,4
청룡노포동,0,2,3,3
부암1동,2,0,0,4
남항동,2,0,2,4
강동동,0,2,0,3
반송2동,2,0,4,4
문현4동,2,0,2,4
가락동,0,2,2,3
부암3동,2,0,5,4
구서2동,2,0,4,4
광안4동,2,0,2,4
서2동,2,0,0,4
대연5동,2,0,2,4
동삼1동,2,0,11,2
가야1동,2,0,3,4
당감1동,0,1,1,3
주례3동,1,0,0,4
대연1동,1,0,1,4
좌4동,1,0,3,4
주례1동,1,0,5,4
괴정4동,1,0,1,4
서대신3동,1,0,0,4
광안3동,0,1,1,3
괴정1동,1,0,3,4
중앙동,1,0,3,4
대연6동,1,0,2,4
청학1동,1,0,1,4
청학2동,1,0,3,4
광복동,0,1,9,2
초량3동,1,0,1,4
개금3동,1,0,6,2
감천1동,1,0,6,2
감전동,0,1,5,3
학장동,1,0,3,4
감만2동,1,0,0,4
재송2동,1,0,5,4
만덕1동,0,1,8,2
덕포1동,1,0,1,4
복산동,1,0,0,4
수정5동,1,0,0,4
신평1동,1,0,3,4
서대신1동,1,0,0,4
서3동,1,0,3,4
사직3동,1,0,5,4
부평동,0,1,0,3
양정2동,1,0,2,4
부전1동,1,0,17,2
부곡4동,1,0,2,4
부곡1동,1,0,1,4
봉래1동,1,0,0,4
범천2동,1,0,1,4
동대신2동,1,0,1,4
영선1동,1,0,0,4
범일1동,1,0,3,4
반여4동,1,0,1,4
반여2동,1,0,2,4
반송1동,1,0,8,2
명장2동,1,0,4,4
명장1동,1,0,4,4
망미2동,0,1,3,3
만덕2동,1,0,10,2
장림1동,1,0,2,4
수정2동,1,0,3,4
가덕도동,0,1,2,3
