행정동,동물병원,애견카페,공원,총합
좌2동,17,1,0,18
양정1동,14,0,0,14
구서1동,11,0,0,11
우3동,11,0,0,11
중1동,11,0,0,11
명지1동,7,3,0,10
장전2동,10,0,0,10
민락동,5,3,1,9
기장읍,6,0,2,8
남천1동,7,1,0,8
우1동,6,0,2,8
일광읍,4,2,2,8
정관읍,5,2,1,8
화명3동,5,1,2,8
남포동,5,2,0,7
녹산동,6,0,1,7
대연3동,5,1,1,7
온천2동,7,0,0,7
우2동,6,0,1,7
광안2동,5,1,0,6
다대1동,4,1,1,6
망미1동,6,0,0,6
부곡3동,6,0,0,6
연산1동,5,0,1,6
연산2동,6,0,0,6
연산9동,6,0,0,6
연지동,5,0,1,6
온천1동,5,0,1,6
온천3동,6,0,0,6
용호1동,6,0,0,6
좌1동,5,1,0,6
다대2동,3,2,0,5
명륜동,5,0,0,5
명지2동,4,0,1,5
반여1동,5,0,0,5
송정동,4,0,1,5
연산5동,5,0,0,5
재송1동,4,1,0,5
전포2동,4,1,0,5
초읍동,5,0,0,5
화명1동,5,0,0,5
괴정3동,4,0,0,4
금곡동,4,0,0,4
남산동,4,0,0,4
당리동,3,1,0,4
덕천2동,3,0,1,4
동삼1동,2,0,2,4
모라1동,4,0,0,4
부전2동,3,1,0,4
사직2동,4,0,0,4
수민동,4,0,0,4
수영동,3,0,1,4
안락2동,3,1,0,4
장림2동,4,0,0,4
전포1동,3,1,0,4
중2동,3,0,1,4
충무동,4,0,0,4
가야2동,3,0,0,3
개금1동,3,0,0,3
거제1동,3,0,0,3
거제2동,3,0,0,3
거제3동,2,1,0,3
광안1동,3,0,0,3
구포2동,3,0,0,3
당감4동,3,0,0,3
덕천1동,2,1,0,3
만덕3동,3,0,0,3
문현2동,3,0,0,3
문현3동,3,0,0,3
부곡2동,2,1,0,3
사직1동,3,0,0,3
안락1동,3,0,0,3
암남동,1,0,2,3
엄궁동,3,0,0,3
연산4동,2,1,0,3
연산6동,3,0,0,3
용호2동,2,0,1,3
용호3동,1,0,2,3
장전1동,3,0,0,3
초량2동,2,0,1,3
하단1동,3,0,0,3
하단2동,1,1,1,3
화명2동,3,0,0,3
가락동,0,2,0,2
가야1동,2,0,0,2
감전동,0,1,1,2
광복동,0,1,1,2
광안4동,2,0,0,2
괘법동,2,0,0,2
구서2동,2,0,0,2
구포1동,1,1,0,2
남항동,2,0,0,2
대연5동,2,0,0,2
대저1동,0,0,2,2
문현4동,2,0,0,2
반송2동,2,0,0,2
부암1동,2,0,0,2
부암3동,2,0,0,2
서2동,2,0,0,2
신평2동,2,0,0,2
장안읍,1,1,0,2
좌4동,1,0,1,2
주례2동,2,0,0,2
청룡노포동,0,2,0,2
초량3동,1,0,1,2
가덕도동,0,1,0,1
감만2동,1,0,0,1
감천1동,1,0,0,1
강동동,0,1,0,1
개금3동,1,0,0,1
광안3동,0,1,0,1
괴정1동,1,0,0,1
괴정4동,1,0,0,1
금성동,0,0,1,1
당감1동,0,1,0,1
대연1동,1,0,0,1
대연6동,1,0,0,1
대저2동,0,0,1,1
덕포1동,1,0,0,1
동대신2동,1,0,0,1
만덕2동,1,0,0,1
명장1동,1,0,0,1
명장2동,1,0,0,1
반송1동,1,0,0,1
반여2동,1,0,0,1
반여4동,1,0,0,1
범일1동,1,0,0,1
범천2동,1,0,0,1
복산동,1,0,0,1
봉래1동,1,0,0,1
부곡1동,1,0,0,1
부곡4동,1,0,0,1
부전1동,1,0,0,1
부평동,0,1,0,1
사직3동,1,0,0,1
삼락동,0,0,1,1
서3동,1,0,0,1
서대신1동,1,0,0,1
서대신3동,1,0,0,1
서대신4동,0,0,1,1
선두구동,0,0,1,1
수정2동,1,0,0,1
수정5동,1,0,0,1
신평1동,1,0,0,1
양정2동,1,0,0,1
영선1동,1,0,0,1
영주2동,0,0,1,1
용호4동,0,0,1,1
우암동,0,0,1,1
장림1동,1,0,0,1
재송2동,1,0,0,1
주례1동,1,0,0,1
주례3동,1,0,0,1
중앙동,1,0,0,1
청학1동,1,0,0,1
청학2동,1,0,0,1
학장동,1,0,0,1
감만1동,0,0,0,0
감천2동,0,0,0,0
개금2동,0,0,0,0
거제4동,0,0,0,0
괴정2동,0,0,0,0
구평동,0,0,0,0
구포3동,0,0,0,0
금사회동동,0,0,0,0
남부민1동,0,0,0,0
남부민2동,0,0,0,0
남천2동,0,0,0,0
당감2동,0,0,0,0
대연4동,0,0,0,0
대청동,0,0,0,0
덕천3동,0,0,0,0
덕포2동,0,0,0,0
동광동,0,0,0,0
동대신1동,0,0,0,0
동대신3동,0,0,0,0
동삼2동,0,0,0,0
동삼3동,0,0,0,0
만덕1동,0,0,0,0
망미2동,0,0,0,0
모라3동,0,0,0,0
문현1동,0,0,0,0
반여3동,0,0,0,0
범일2동,0,0,0,0
범일5동,0,0,0,0
범천1동,0,0,0,0
보수동,0,0,0,0
봉래2동,0,0,0,0
부민동,0,0,0,0
서1동,0,0,0,0
수정1동,0,0,0,0
수정4동,0,0,0,0
신선동,0,0,0,0
아미동,0,0,0,0
연산3동,0,0,0,0
연산8동,0,0,0,0
영선2동,0,0,0,0
영주1동,0,0,0,0
용당동,0,0,0,0
좌3동,0,0,0,0
좌천동,0,0,0,0
철마면,0,0,0,0
초량1동,0,0,0,0
초량6동,0,0,0,0
초장동,0,0,0,0
